date,tweet
2019-12-22 18:59:58,@Google that hero commercial was amazing!
2019-12-22 18:59:57,Google just saw an awesome commercial by you. Best commercial I’ve seen. Thank you.
2019-12-22 18:59:57,"I just saw this commercial and it is EVERYTHING!   Great job, Google! #useyourpowertoempower #whoisasuperhero #youare https://trends.google.com/trends/yis/2019/GLOBAL/ …"
2019-12-22 18:59:56,Spotify有料版を解約してYouTube Music有料版に乗り換えた。きっかけは先日のGoogle Nest mini無料配布。色々調べて配布対象にはならなかったものの動画も音楽も広告なしでYouTube有料版の方が得じゃん、となった。まんまとGoogleのマーケティングにハマった。  pic.twitter.com/Ll6yZqsBxs
2019-12-22 18:59:56,The new @Google ad is tooooooooooooooooooooooooooooooooooooooo long.  🤨
2019-12-22 18:59:54,You know so little about someone you admire so much. Try google before tweeting next time.
2019-12-22 18:59:54,"Seriously, @Google?! That commercial... Yeah, I ugly cried. 😭😭😭😭"
2019-12-22 18:59:52,"No veo la TV desde hace muchos años, con lo que apenas veo anuncios pero justo viendo un partido de la NFL en un canal americano he visto este anuncio de Google y no se si lo ponen en algún sitio en España, pero si no es así, creo que merece la pena verlo   https://www.youtube.com/watch?v=ZRCdORJiUgU …"
2019-12-22 18:59:51,おはようございます😊 知らない町でGoogle map見なくて大丈夫なんですか？
2019-12-22 18:59:50,ラクマ メルカリ にて iTunes Amazon Google play 銀行振込  現金化 のお手伝いをしています。 ※ラクマの場合 1500円→2100円 3000円→4200円 5000円→6500円 10000円→12900円 Amazonギフト券 22
2019-12-22 18:59:49,Busque mi nombre en Google y esto fue lo que aparecio...  pic.twitter.com/mZmj11yeF6
2019-12-22 18:59:49,Google — Year in Search 2019  https://youtu.be/ZRCdORJiUgU  via @YouTube.
2019-12-22 18:59:46,"Me bored: *exists* My brain:  ""let's search for ducks dabbing on google"" ME: ""FUCK YEAH"""
2019-12-22 18:59:44,"This jokes a gamble, if you get it, YOU GET IT but if you don't then I'd probably say don't google it. lol  pic.twitter.com/rx5sVTyrmi"
2019-12-22 18:59:43,Yeah google it.
2019-12-22 18:59:42,"Pretty annoying that @YouTube, part of a company sitting on $100b in cash, offers me a free trial, bills me for it anyways, then has such poor customer service when I raise the issue. Not a way to keep customers @Google"
2019-12-22 18:59:40,¿Hay alguna forma de decirle a Google Discover de una vez que no me interesa la prensa rosa? Todos los días tengo algún medio que bloquear.
2019-12-22 18:59:39,bruh don’t ask me what rhat wand is i just got it off google images
2019-12-22 18:59:39,今調べたら、絶対ダメではないけど注意が、必要ってGoogleさんに書いてたよ〜！
2019-12-22 18:59:39,SEMrush releases their Google Ranking Factors Study.  http://bit.ly/2txLBPG  pic.twitter.com/vxeGhfag2L
2019-12-22 18:59:38,"google: il cinema x ad Aversa dà The Rise of Skywalker   sito del cinema x: questa sera diamo The Rise of Skywalker  Arriviamo al cinema, a ""due biglietti per Star Wars"" ci rispondono ""no, non lo diamo"". Abbiamo ricontrollato anche sui siti e stava scritto che lo davano."
2019-12-22 18:59:38,Google heros: wiping my tear-stained face.
