timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-18 19:49:20,🔍Spotify ran the largest Google Dataflow job ever for Wrapped 2019 httpstcoa6mf9Qegc3 google GOOG GOOGL alphabet TechNews tech google digitaltransformation httpstco2geCId5FfV,sjoerdapp,"[u'google', u'alphabet', u'TechNews', u'tech', u'digitaltransformation']",1988
2020-02-18 18:12:51,Alphabet 35story tower slated for Toronto might be worlds tallest wooden skyscraper SidewalkLabs Canada realestate httpstcog1B3lCW2A3,dmlevitt,"[u'Alphabet', u'Toronto', u'SidewalkLabs', u'Canada', u'realestate']",6723
2020-02-18 17:47:45,Space Bandits Themed Building Blocks Set httpstcompiEzuen7S reading alphabet httpstcoMnG8n5eExG,learnplayshop1,"[u'reading', u'alphabet']",37
2020-02-18 17:13:14,「Korean Alphabet」 Korean Alphabet Audio Visual Learning Hangeul for Beginners  httpstcovr2ZFjz28N,joonoopenstory,"[u'Korean', u'Alphabet', u'Hangeul']",4044
2020-02-18 17:06:06,Part 2   alphabet sketch artistsoninstagram fineart drawing micronpen coloredpencil httpstcoQgnPxaU4CP,JulietAbram,"[u'alphabet', u'sketch', u'artistsoninstagram', u'fineart', u'drawing', u'micronpen', u'coloredpencil']",321
2020-02-18 16:48:48,Sketching out letters Here come the ABCs   art drawing sketch letters alphabet artistsoninstagram pencilsketch ink outlines httpstcoCitLuw9yzZ,JulietAbram,"[u'art', u'sketch', u'letters', u'alphabet', u'artistsoninstagram', u'pencilsketch', u'ink', u'outlines']",321
2020-02-18 15:20:56,drawing f4f toy reading alphabet instatoddler 2 Channels Flexible Blades RC Helicopter Toy httpstcolkPJR9Y8ab httpstcopoaVacjt89,LearnplayS,"[u'drawing', u'f4f', u'toy', u'reading', u'alphabet', u'instatoddler']",26
2020-02-18 15:15:30,Google’s parent company Alphabet somehow heightened its share repurchases allocating more than 18 billion in order to buy back its shares in 2019  httpstcoLHCByyREP9  Rakamoto Blockchain TuesdayThoughts Crypto Bitcoin Digital Money Coins Dollar Banks,Rakamoto,"[u'Google', u'Alphabet', u'allocating', u'more', u'billion', u'buy', u'Rakamoto', u'Blockchain', u'TuesdayThoughts', u'Crypto', u'Bitcoin', u'Digital', u'Money', u'Coins', u'Dollar', u'Banks']",21963
2020-02-18 15:15:08,How to use play doh to teach the kids the English alphabet letters httpstcotOK1Unc6LK playdoh English alphabet letters education,LearningMole,"[u'playdoh', u'English', u'alphabet', u'letters']",2435
2020-02-18 15:04:13,Write your own words in crossstitch with the Cross Stitch Writing Tool and print your unique pattern alphabet hoopart lettering quote  Take a look at httpstcoPZbDVEQZiT  xstitch xst stitching kruissteek kreuzstitch pointdecroix hoopart httpstco4e9ho9G39K,stitchpoint,"[u'cross', u'alphabet', u'hoopart', u'lettering', u'quote', u'xstitch', u'xst', u'stitching', u'kruissteek', u'kreuzstitch', u'pointdecroix', u'hoopart']",416
